"source_id","publisher","dataset_or_document","fields_or_use","vintage_or_release","retrieval_date","url","coverage","notes"
"local_election_statistics_2025","Ministry for Cities, Environment, Regions and Transport; Department of Internal Affairs","Local Authority Election Statistics 2025","councillors_current; mayors_current; governing_body_elected_total","2025 local elections; Tauranga uses its 2024-28 arrangement","2026-08-01","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/","67 territorial authorities","Official election statistics compiled primarily from questionnaires completed by electoral officers. Tauranga did not hold a 2025 election and uses its current 2024-28 representation arrangement."
"dia_council_profiles","Department of Internal Affairs","Data release for council profiles - July 2025","population_2024; land_area_km2; rates_revenue_2023_24_nzd_excl_gst; rates_revenue_2025_26_forecast_nzd_excl_gst","July 2025; updated October 2025","2026-07-28","https://www.dia.govt.nz/local-government-performance-metrics","67 territorial authorities","DIA compilation of Stats NZ demographic data and council financial documents."
"stats_nz_population","Stats NZ","Subnational population estimates","population_2024","Estimate at 30 June 2024","2026-07-28","https://infoshare.stats.govt.nz/","67 territorial authorities","Used through the DIA council-profiles release so the application has one consistent population denominator."
"stats_nz_land_area","Stats NZ","Territorial-authority land area","land_area_km2","2025 geography","2026-07-28","https://datafinder.stats.govt.nz/","67 territorial authorities","Used through the DIA council-profiles release."
"council_rates_actual","New Zealand territorial authorities; compiled by the Department of Internal Affairs","Annual reports - statements of comprehensive revenue and expense","rates_revenue_2023_24_nzd_excl_gst","2023/24; Buller 2021/22","2026-07-28","https://www.dia.govt.nz/local-government-performance-metrics","67 territorial authorities","Includes rates penalties and remissions. Buller uses the latest value DIA could source."
"council_rates_forecast","New Zealand territorial authorities; compiled by the Department of Internal Affairs","Annual Plans and 2025-34 Long-Term Plans","rates_revenue_2025_26_forecast_nzd_excl_gst","2025/26 forecast","2026-07-28","https://www.dia.govt.nz/local-government-performance-metrics","67 territorial authorities","Prospective rates revenue as compiled by DIA."
"ratepayers_report_2026","New Zealand Taxpayers' Union","Ratepayers' Report 2026","households_published_2026; avg_residential_bill_2024_25_nzd_incl_gst","Year ended 30 June 2025","2026-07-28","https://ratepayersreport.nz/","66 territorial authorities; Chatham Islands absent","The report says household data comes from Stats NZ. It is a separate measure and not the council-defined residential rating-unit count used to calculate the average bill. The public report does not expose the underlying rates, charges or rating-unit values. Water retains the treatment in each source-year published figure; later water-organisation transfers and charges are not substituted. Western Bay of Plenty, Westland and Waitaki have no comparable average bill."
"rating_units_compilation","Individual territorial authorities and regional councils","Annual reports; Long-Term Plans; regional valuation rolls","rating_units; rating_units_status","Mostly 2024/25; some older, projected, draft or proxy counts","2026-07-28","https://www.lgnz.co.nz/local-government-in-nz/councils-in-aotearoa/council-websites-and-maps/?SubsiteID=1","66 territorial authorities; Chatham Islands absent","Historical secondary-input compilation. Original per-document retrieval dates and URLs were not retained; 2026-07-28 is the date this limitation and the council-source index were audited. Status is flagged for every non-current count."
"stats_nz_financial_position","Stats NZ","Local Authority Financial Statistics - financial position","total_assets_2024_nzd; total_liabilities_2024_nzd; net_assets_2024_nzd","30 June 2024","2026-07-27","https://www.stats.govt.nz/information-releases/local-authority-financial-statistics-year-ended-june-2024/","67 territorial authorities","Council-only figures. Water assets and liabilities held directly by councils at the reference date remain included; council-controlled organisations and assets already held outside council-only accounts are excluded. Later water transfers are ignored. Published $000 values are converted to dollars."
"lgc_structure","Local Government Commission","About local government reorganisation","territorial-authority scope; regional-council exclusion; unitary-authority context","Current at 28 July 2026","2026-07-28","https://www.lgc.govt.nz/our-work/local-government-reorganisation/about-local-government-reorganisation/","New Zealand local-authority structure","Distinguishes 67 territorial authorities from 11 regional councils and describes the Chatham Islands as effectively unitary."
